station_id;station_name;lat;lon;altitude;from_date;to_date;fed_state
07328;Ponitz;50.8543;12.4216;219;20060101;20190623;Thüringen
07329;Treuen;50.5467;12.2863;465;20051031;20190623;Sachsen
07330;Arnsberg-Neheim;51.4633;7.9780;159;20051001;20190623;Nordrhein-Westfalen
07331;Hermaringen-Allewind;48.6099;10.2674;468;20050901;20190623;Baden-Württemberg
07333;Marienberg-Rübenau;50.5803;13.2966;727;20060701;20190623;Sachsen
07334;Heyda bei Riesa;51.2651;13.3589;132;20060301;20190623;Sachsen
07335;Strauch;51.3658;13.5801;128;20060201;20190623;Sachsen
07337;Dürrhennersdorf;51.0577;14.6128;332;20070401;20190623;Sachsen
07340;Koblenz (Falckensteinkaserne);50.3713;7.5791;84;20080325;20190623;Rheinland-Pfalz
07341;Offenbach-Wetterpark;50.0900;8.7862;119;20050718;20190623;Hessen
07343;Deutschneudorf-Brüderwiese;50.6199;13.4816;688;20060331;20190623;Sachsen
07344;Nettetal-Hülst;51.2992;6.2013;45;20060601;20190623;Nordrhein-Westfalen
07350;Prackenbach-Neuhäusl;49.1088;12.8231;588;20060801;20190623;Bayern
07351;Feldberg/Mecklenburg;53.3175;13.4175;116;20050908;20190623;Mecklenburg-Vorpommern
07361;Scharnhorst-Marwede;52.7363;10.3440;72;20060701;20190623;Niedersachsen
07364;Jeßnitz;51.6820;12.3042;74;20070101;20190623;Sachsen-Anhalt
07367;Alfeld;51.9643;9.8072;144;20071201;20190623;Niedersachsen
07368;Eisenach;51.0007;10.3621;312;20071101;20190623;Thüringen
07369;Feuchtwangen-Heilbronn;49.1623;10.3662;475;20071101;20190623;Bayern
07370;Waldmünchen;49.3910;12.6838;499;20061211;20190623;Bayern
07372;Ballerstedt;52.7321;11.7124;35;20061001;20190325;Sachsen-Anhalt
07373;Borkum-Flugplatz;53.5984;6.7024;3;20060301;20190623;Niedersachsen
07374;Ahaus;52.0814;6.9410;46;20060301;20190623;Nordrhein-Westfalen
07375;Homberg-Schönbornerhof;49.6450;7.5003;411;20090924;20190623;Rheinland-Pfalz
07378;Bedburg-Weiler Hohenholz;51.0149;6.5173;101;20060701;20190623;Nordrhein-Westfalen
07380;Backnang (LUBW);48.9353;9.4009;233;20081103;20190614;Baden-Württemberg
07382;Wangen/Allgäu-Schwaderberg;47.7095;9.8659;666;20061201;20190623;Baden-Württemberg
07389;Heckelberg;52.7461;13.8427;82;20061201;20190623;Brandenburg
07393;Hoyerswerda;51.4493;14.2533;116;20100101;20190623;Sachsen
07394;Wunsiedel-Schönbrunn;50.0315;11.9745;622;20060601;20190623;Bayern
07395;Gottfrieding;48.6595;12.5388;351;20071201;20190622;Bayern
07396;Hoherodskopf/Vogelsberg;50.5084;9.2247;743;20080501;20190623;Hessen
07403;Leutkirch-Herlazhofen;47.7955;10.0324;672;20070330;20190623;Baden-Württemberg
07410;Neu-Ulrichstein;50.7513;9.0224;350;20110201;20190623;Hessen
07412;Neuhütten/Spessart;50.0083;9.4239;340;20061001;20190623;Bayern
07418;Sankt Egidien-Kuhschnappel;50.8020;12.6366;321;20080601;20190623;Sachsen
07419;Langenwetzendorf-Göttendorf;50.6610;12.0756;389;20061201;20190623;Thüringen
07420;Naumburg/Saale-Kreipitzsch;51.1044;11.7112;246;20070401;20190623;Sachsen-Anhalt
07421;Neuhaus-Schierschnitz;50.3250;11.2395;383;20061201;20190623;Thüringen
07423;Hähnichen-Trebus;51.3443;14.8387;163;20070401;20190623;Sachsen
07424;Piding;47.7724;12.9073;457;20061201;20190623;Bayern
07425;Rinteln-Volksen;52.1384;9.1119;212;20060801;20190623;Niedersachsen
07427;Padenstedt (Pony-Park);54.0188;9.9255;17;20070901;20190623;Schleswig-Holstein
07428;Veilsdorf;50.4167;10.8156;397;20070501;20190623;Thüringen
07429;Seckach;49.4250;9.3314;334;20061201;20190623;Baden-Württemberg
07430;Rentweinsdorf-Treinfeld;50.0614;10.8129;258;20071101;20190506;Bayern
07431;Oberhaching-Laufzorn;48.0130;11.5524;604;20071101;20190623;Bayern
07432;Wittingen-Vorhop;52.6423;10.6627;72;20070501;20190623;Niedersachsen
